h_np (nm),h_extrude (nm),lambda0 (nm),Total transmittance (1),Average 1 (W/m^3),Total reflectance and transmittance (1)
450,280,1550,0.17242476587688302,5.17609399313445E13,0.51085902613194
450,300,1550,0.050262219252616716,4.494233740875567E13,0.5449589921432706
450,319.99999999999994,1550,0.25727494871624296,2.8022475556042688E13,0.6973571870733835
450,340,1550,0.4542655249945722,1.8843268174547527E13,0.7837736336320111
450,360,1550,0.5971833368267588,1.4371700312776E13,0.8253844270386842
450,379.99999999999994,1550,0.6943739164126332,1.2813657729737934E13,0.8356651415786183
450,400,1550,0.7438346944652208,1.7206266608107264E13,0.7677155175756559
500,19.999999999999996,1550,0.8528834099774412,3.9819393254082625E13,0.970134540895633
500,39.99999999999999,1550,0.8089995756202094,2.8533674090216934E13,0.9571998830540642
500,60,1550,0.7991210418101182,2.3397170108591875E13,0.9473562644306875
500,79.99999999999999,1550,0.8049857234036442,2.1093668433872645E13,0.9367196573392242
500,100,1550,0.8182640771366816,2.0635091085537516E13,0.9226182443846452
500,120,1550,0.8327404187063338,2.2356818768180113E13,0.8993936956233239
500,140,1550,0.8155041518591968,3.1605549619079035E13,0.8340713038181007
500,159.99999999999997,1550,0.23540375073371858,8.702164331386597E13,0.47786919277235945
500,180,1550,0.7170056542412141,2.811980669872383E13,0.8102005629280589
500,200,1550,0.7696295797026319,2.8158469668124367E13,0.7888113322557629
500,219.99999999999997,1550,0.6902476384961289,3.467483514958868E13,0.7139288790468173
500,240,1550,0.43409268569466647,4.302661540091694E13,0.612757431752053
500,259.99999999999994,1550,0.10631049793315084,4.31764077182747E13,0.5790324107587175
500,280,1550,0.04057624011363163,3.1374070545641508E13,0.6705700447681031
500,300,1550,0.16224938414418166,2.096388468402735E13,0.7641576577317098
500,319.99999999999994,1550,0.29761529103557066,1.5383380246986816E13,0.8153994118317569
500,340,1550,0.3989924516268177,1.3037799985227744E13,0.8337677832926392
500,360,1550,0.4674474094244759,1.2717769942843768E13,0.8283096693732288
500,379.99999999999994,1550,0.5071144549513027,1.5029982838874607E13,0.7858227538924062
500,400,1550,0.4031593718503061,3.524380355430835E13,0.4713432678911622
550,19.999999999999996,1550,0.8118722902399307,4.23227362435107E13,0.9650840478156275
550,39.99999999999999,1550,0.7355509771322406,3.0009668174733707E13,0.9504846081189486
550,60,1550,0.7089233405788526,2.4349357278975727E13,0.9397351562439996
550,79.99999999999999,1550,0.7079367242342296,2.1884541735318812E13,0.9277811569822978
550,100,1550,0.7225860628732491,2.147185308123606E13,0.9114277029684892
550,120,1550,0.7474498020908972,2.3367068266423156E13,0.8843331355815727
550,140,1550,0.7533855816775908,3.363115961018798E13,0.8057795774160308
550,159.99999999999997,1550,0.38373086131970685,5.6226870691185766E13,0.6289011751641158
550,180,1550,0.6901851901344457,3.385093161141506E13,0.7486517362524163
550,200,1550,0.6243702486202499,4.227685712002967E13,0.6512159329763667
550,219.99999999999997,1550,0.33570105163486025,4.91951943424268E13,0.5535530458636719
550,240,1550,0.05271895727509879,3.8267743273940055E13,0.6211487242463424
550,259.99999999999994,1550,0.03256606318150524,2.4721606376917973E13,0.734860740741851
550,280,1550,0.10993835590349955,1.7064235531713232E13,0.8029090819460175
550,300,1550,0.18873178402168633,1.3415327265307645E13,0.8339846730636294
550,319.99999999999994,1550,0.25025507936294916,1.1925787140047977E13,0.8425794416231951
550,340,1550,0.2928509105565272,1.1818344634964957E13,0.8342477678210418
550,360,1550,0.31076814362040356,1.3236767062304227E13,0.8034344214620972
550,379.99999999999994,1550,0.27598404048696595,1.8916728600979043E13,0.7034803345316845
550,400,1550,0.27217371580170585,4.374870927266044E13,0.2781467056833225
600,19.999999999999996,1550,0.7731775660033171,4.3965431591085305E13,0.960430081523806
600,39.99999999999999,1550,0.6640691597204039,3.0597763674362406E13,0.9449230330298259
600,60,1550,0.6188012061239976,2.4410192955994227E13,0.9340925277039323
600,79.99999999999999,1550,0.6091729685185321,2.178139696792557E13,0.9215882885309601
600,100,1550,0.6220168475553173,2.1449880926986094E13,0.9034771677596203
600,120,1550,0.6531953900769232,2.349825719509324E13,0.8731083814275689
600,140,1550,0.6842151151604359,3.3542131410839664E13,0.7886949644313795
600,159.99999999999997,1550,0.5876264288012297,4.070462922574938E13,0.7069267527441457
600,180,1550,0.5739401349383038,4.831138805677896E13,0.6086746995161139
600,200,1550,0.26387788724679706,5.2960969647952586E13,0.5233518702827165
600,219.99999999999997,1550,0.02366416115298452,4.067859133529477E13,0.597282231682912
600,240,1550,0.03201203013615515,2.2126651519302137E13,0.7610311440349109
600,259.99999999999994,1550,0.090113505979156,1.5457964142711186E13,0.819141582627954
600,280,1550,0.14130532445491661,1.2811456831490941E13,0.8385726353137156
600,300,1550,0.17959231936837458,1.1919081957973238E13,0.8390904992421283
600,319.99999999999994,1550,0.2050062545690939,1.2124098311301213E13,0.8254132900849036
600,340,1550,0.21366105758495033,1.3367522688605389E13,0.7954772619721672
600,360,1550,0.1973995878303539,1.638589478374567E13,0.7345487975382449
600,379.99999999999994,1550,0.11676487250919441,2.55044606755038E13,0.5638738397114513
600,400,1550,0.2797571341038017,3.714841451282087E13,0.33132842630702336
650,19.999999999999996,1550,0.7405482975381441,4.487117844276864E13,0.9562505072371011
650,39.99999999999999,1550,0.6035466550970541,3.0543833339161887E13,0.9404395199895399
650,60,1550,0.5426803233380442,2.3815748531038105E13,0.9303402549984858
650,79.99999999999999,1550,0.5252605349063503,2.1022193988067535E13,0.9180127573775062
650,100,1550,0.5352093968825898,2.0811106161368652E13,0.8985458054615352
650,120,1550,0.568442637625653,2.3352243801436484E13,0.8633875931949417
650,140,1550,0.6189030423892122,3.186880982384848E13,0.7824954653627672
650,159.99999999999997,1550,0.5755496088012015,4.787268934051083E13,0.6265918618404646
650,180,1550,0.270311563858215,5.657885231518529E13,0.5035212125952411
650,200,1550,0.019439107571791056,3.987372230246232E13,0.6112308727005769
650,219.99999999999997,1550,0.04419331000130354,2.322740869962444E13,0.7508850832474694
650,240,1550,0.1015729970887145,1.5656628989327297E13,0.8168174265795293
650,259.99999999999994,1550,0.14419080437908738,1.4054395531840664E13,0.821862532507904
650,280,1550,0.17493641219298783,1.4497007623910979E13,0.8021159003079975
650,300,1550,0.19005199838794307,1.656283738199494E13,0.7577686770579607
650,319.99999999999994,1550,0.186975851432332,1.986537661941004E13,0.690100448786681
650,340,1550,0.15438561908220094,2.454078251973681E13,0.5932363830550496
650,360,1550,0.08451395473583292,2.943215553201406E13,0.4834656807796741
650,379.99999999999994,1550,0.001699606204782793,3.693746290288939E13,0.31573356640871614
650,400,1550,0.3650362186356216,2.9837682452495004E13,0.4181651699834104
700,19.999999999999996,1550,0.7170104374167664,4.526807406367644E13,0.9524685278374118
700,39.99999999999999,1550,0.5594910465053735,3.019185468154881E13,0.9365971583002222
