% h_np (nm),h_extrude (nm),Total transmittance (1),Average 1 (W/m^3),Total reflectance and transmittance (1)
900,300,0.0189115536072634,2.407551881034998E13,0.5124708080815578
900,319.99999999999994,0.020668816196597033,2.5514863064674402E13,0.4488788640861727
900,340,0.00805913753059745,2.9698957677788348E13,0.3184085120571226
900,360,0.019696658393245515,3.537705643933145E13,0.14033782356745642
900,379.99999999999994,0.037693054862410126,3.549096187998997E13,0.08965578626741266
900,400,0.1324603377714391,1.9867505034399555E13,0.46357795724689843
949.9999999999999,19.999999999999996,0.6711759499353686,6.448217768188413E13,0.9081128893308849
949.9999999999999,39.99999999999999,0.49418042074595037,4.509634462701674E13,0.871475304548549
949.9999999999999,60,0.43191938403293517,3.597734456374384E13,0.8461963157332736
949.9999999999999,79.99999999999999,0.38038118405764304,5.610177775566557E13,0.6802078521140091
949.9999999999999,100,0.3154273552603578,3.3362323008575766E13,0.7622938850976406
949.9999999999999,120,0.388270006487646,2.83725748943907E13,0.757414427137264
949.9999999999999,140,0.437036290460375,3.44052591057932E13,0.6568062034681601
949.9999999999999,159.99999999999997,0.20248290214874068,5.2178501928350836E13,0.4051650516788139
949.9999999999999,180,0.2905921129504722,3.238990317207924E13,0.5845999862069682
949.9999999999999,200,0.39249173756844463,3.664393305775848E13,0.4778217506615178
949.9999999999999,219.99999999999997,0.2268234626535152,3.872511274396868E13,0.3929841986476174
949.9999999999999,240,0.055303672405242484,3.1657394292135965E13,0.45865850887419396
949.9999999999999,259.99999999999994,0.0069357459673888636,2.6258798724229457E13,0.5135563397130087
949.9999999999999,280,0.007435141251009779,2.4318562247789684E13,0.5148448819176593
949.9999999999999,300,0.014664571175856109,2.441017135606755E13,0.4782326393832956
949.9999999999999,319.99999999999994,0.011276459229994311,2.6914234671858113E13,0.3863555974896304
949.9999999999999,340,0.0025464879503179034,3.1691771342084656E13,0.23226806552352391
949.9999999999999,360,0.013470245338898032,3.4808659143531777E13,0.10715942652977871
949.9999999999999,379.99999999999994,0.023641418396644638,3.0426497180970953E13,0.17620293100030554
949.9999999999999,400,0.1401791550657824,1.953406160743861E13,0.4432791358200502
